chemical_name,cas_number,purity_grades_sold,certifications,primary_hub_id,primary_hub_label,secondary_hubs,sub_industry_tags_provisional,top_customers,customer_count_3yr,last_shipped_date,total_gp_3yr,total_revenue_3yr,transaction_count_3yr,hubspot_deal_count,hubspot_deal_total_usd,kelly_review_status,reviewer_group_status,source_systems,primary_pnum,all_pnums,pmast
"TITANIUM (IV) ISOPROPOXIDE, UOP/Honeywell Material No. 60560, (99% pure, liquid), Ti(OC₃H₇)₄",LOOKUP_NEEDED,99%,UOP Spec,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,Honeywell International Sdn. B,1,2024-04-24,963250.22,1668276.0,4,1,924418.4,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (1 deals), Invoice 2023, Invoice 2024",C2135,C2135,C2135
"ZINC OXIDE, CALCINED, 99.995% pure, -20 mesh, (Special for SpaceX), ZnO",LOOKUP_NEEDED,99.995%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,SpaceX,1,2023-09-27,378291.81,399499.73,18,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2023,C2936,C2936,C2936
"LANTHANUM NITRATE, HEXAHYDRATE, Huntsman RMS No. R3022-C, (Huntsman Code 19307000), La(NO₃)₃ · 6H₂O",LOOKUP_NEEDED,Unknown,None observed,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,Huntsman Advanced Materials | Oqema AG | Huntsman Adv.Mat.(Europe) BVBA,3,2025-11-12,365862.03,791313.4,15,6,465470.4,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (6 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2037,C2037,C2037
"SODIUM PHOSPHATE TRIBASIC, DODECAHYDRATE, Chemically pure, -10/+25 mesh, (Trisodium Phosphate, Dodecahydrate), Na₃PO}4|.12H₂O",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Southwest Research Institute,1,2024-08-23,325164.0,483638.0,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2024,C2938,C2938,C2938
"POTASSIUM CHLORIDE, USP, granular, KCI specifically for EOS Energy",LOOKUP_NEEDED,USP,USP,energy,Energy & Nuclear,,PROVISIONAL: Energy & Nuclear,Eos Energy Enterprises Inc,1,2024-09-27,262797.56,951266.22,12,1,0.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (1 deals), Invoice 2023, Invoice 2024",C3002,C3002,C3002
"SODIUM SULFITE, Special for Hope Pharmaceuticals (28 Mar 2024), Na₂SO₃",LOOKUP_NEEDED,Unknown,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Hope Pharmaceuticals,1,2025-05-06,259373.85,426441.88,18,2,82703.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2866,C2866,C2866
"CALCIUM CHROMATE, MIL-C-48038, 3 microns max., CaCrO₄",LOOKUP_NEEDED,Unknown,MIL-Spec,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Eagle Picher Technologies | Networks Electronic | MT Chemical Company LLC,3,2024-03-28,239015.68,251043.0,6,0,0.0,PENDING_REVIEW,PENDING_REVIEW,"Invoice 2023, Invoice 2024",11331,11331,11331
"VANADIUM OXYSULFATE, HYDRATE, USP, crystal, (Vanadyl Sulfate, Hydrate), VOSO₄.xH₂O",LOOKUP_NEEDED,USP,USP,life-sciences-pharma,Life Sciences & Pharma,Unclassified,PROVISIONAL: Life Sciences & Pharma; Unclassified,"Nutrisol LLC | Biotron Laboratories, Inc. | Capital Resin Corporation",9,2025-12-09,234311.78,314466.58,51,30,260452.48,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (30 deals), Invoice 2023, Invoice 2024, Invoice 2025",11272,11272,11272
"SODIUM CYANIDE, ACS Reagent, granular,  NaCN",LOOKUP_NEEDED,ACS Reagent | Reagent,ACS Reagent | Reagent,life-sciences-pharma,Life Sciences & Pharma,Consumer & Industrial,PROVISIONAL: Life Sciences & Pharma; Consumer & Industrial,Aldrich Chemical Co. LLC | Avantor Performance Materials | HACH Company,9,2025-12-05,204319.25,262582.18,80,48,245318.05,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (48 deals), Invoice 2023, Invoice 2024, Invoice 2025",90284,90284,90284
"LEAD (II) NITRATE, ACS Reagent, crystal,  Pb(NO₃)₂",10099-74-8,ACS Reagent | Reagent,ACS Reagent | Reagent,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,"Olin Winchester, LLC | B3 Systems, Inc.",2,2025-10-08,202132.41,424453.08,15,2,181018.5,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2023, Invoice 2024, Invoice 2025",14777,14777,14777
